medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Silver Medal,2,2024-08-04,QIU Qiyuan,CHN,W,Artistic Gymnastics,Women's Uneven Bars,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--,1918872
Bronze Medal,3,2024-08-04,Sunisa LEE,USA,W,Artistic Gymnastics,Women's Uneven Bars,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--,1959866
Gold Medal,1,2024-08-04,Noah LYLES,USA,M,Athletics,Men's 100m,ATH,/en/paris-2024/results/athletics/men-s-100m/fnl-000100--,1960173
Silver Medal,2,2024-08-04,Kishane THOMPSON,JAM,M,Athletics,Men's 100m,ATH,/en/paris-2024/results/athletics/men-s-100m/fnl-000100--,1980161
Bronze Medal,3,2024-08-04,Fred KERLEY,USA,M,Athletics,Men's 100m,ATH,/en/paris-2024/results/athletics/men-s-100m/fnl-000100--,1960958
Gold Medal,1,2024-08-04,Ethan KATZBERG,CAN,M,Athletics,Men's Hammer Throw,ATH,/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--,1974151
Silver Medal,2,2024-08-04,Bence HALASZ,HUN,M,Athletics,Men's Hammer Throw,ATH,/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--,1916814
Bronze Medal,3,2024-08-04,Mykhaylo KOKHAN,UKR,M,Athletics,Men's Hammer Throw,ATH,/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--,1571563
Gold Medal,1,2024-08-04,Yaroslava MAHUCHIKH,UKR,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--,1571559
Silver Medal,2,2024-08-04,Nicola OLYSLAGERS,AUS,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--,1939838
Bronze Medal,3,2024-08-04,Iryna GERASHCHENKO,UKR,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--,1571577
Bronze Medal,3,2024-08-04,Eleanor PATTERSON,AUS,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--,1939763
Gold Medal,1,2024-08-04,LEE/WANG,TPE,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--,BDMMDOUBLES-TPE01
Silver Medal,2,2024-08-04,LIANG/WANG,CHN,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--,BDMMDOUBLES-CHN02
Bronze Medal,3,2024-08-04,CHIA/SOH,MAS,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000200--,BDMMDOUBLES-MAS01
Bronze Medal,3,2024-08-04,Yunior ALCANTARA REYES,DOM,M,Boxing,Men's 51kg,HATH,/en/paris-2024/results/boxing/men-s-51kg/sfnl000100--,1908817
Bronze Medal,3,2024-08-04,David de PINA,CPV,M,Boxing,Men's 51kg,HATH,/en/paris-2024/results/boxing/men-s-51kg/sfnl000200--,1892464
Bronze Medal,3,2024-08-04,Wyatt SANFORD,CAN,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000100--,1972293
Bronze Medal,3,2024-08-04,Lasha GURULI,GEO,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000200--,1550184
Bronze Medal,3,2024-08-04,Cristian Javier PINALES,DOM,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/sfnl000100--,1943368
Bronze Medal,3,2024-08-04,Arlen LOPEZ CARDONA,CUB,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/sfnl000200--,1555548
Bronze Medal,3,2024-08-04,Enmanuel REYES PLA,ESP,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/sfnl000100--,1934790
Bronze Medal,3,2024-08-04,Davlat BOLTAEV,TJK,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/sfnl000200--,1909011
Bronze Medal,3,2024-08-04,PANG Cholmi,PRK,W,Boxing,Women's 54kg,HATH,/en/paris-2024/results/boxing/women-s-54kg/sfnl000100--,1980125
Bronze Medal,3,2024-08-04,IM Aeji,KOR,W,Boxing,Women's 54kg,HATH,/en/paris-2024/results/boxing/women-s-54kg/sfnl000200--,1891890
Gold Medal,1,2024-08-04,Kristen FAULKNER,USA,W,Cycling Road,Women's Road Race,ATH,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--,1955081
Silver Medal,2,2024-08-04,Marianne VOS,NED,W,Cycling Road,Women's Road Race,ATH,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--,1969165
Bronze Medal,3,2024-08-04,Lotte KOPECKY,BEL,W,Cycling Road,Women's Road Race,ATH,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--,1903120
Gold Medal,1,2024-08-04,Jessica von BREDOW-WERNDL,GER,O,Equestrian,Dressage Individual,ATH,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--,1914905
Silver Medal,2,2024-08-04,Isabell WERTH,GER,O,Equestrian,Dressage Individual,ATH,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--,1914909
Bronze Medal,3,2024-08-04,Charlotte FRY,GBR,O,Equestrian,Dressage Individual,ATH,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--,1970905
Gold Medal,1,2024-08-04,Japan,JPN,M,Fencing,Men's Foil Team,HTEAM,/en/paris-2024/results/fencing/men-s-foil-team/fnl-000100--,FENMTEAMFOILJPN01
Silver Medal,2,2024-08-04,Italy,ITA,M,Fencing,Men's Foil Team,HTEAM,/en/paris-2024/results/fencing/men-s-foil-team/fnl-000100--,FENMTEAMFOILITA01
Bronze Medal,3,2024-08-04,France,FRA,M,Fencing,Men's Foil Team,HTEAM,/en/paris-2024/results/fencing/men-s-foil-team/fnl-000200--,FENMTEAMFOILFRA01
Gold Medal,1,2024-08-04,Scottie SCHEFFLER,USA,M,Golf,Men's Individual Stroke Play,ATH,/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------,1951724
Silver Medal,2,2024-08-04,Tommy FLEETWOOD,GBR,M,Golf,Men's Individual Stroke Play,ATH,/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------,1923629
Bronze Medal,3,2024-08-04,MATSUYAMA Hideki,JPN,M,Golf,Men's Individual Stroke Play,ATH,/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------,1961406
Gold Medal,1,2024-08-04,Francisca CROVETTO CHADID,CHI,W,Shooting,Skeet Women,ATH,/en/paris-2024/results/shooting/skeet-women/fnl-000100--,1937878
Silver Medal,2,2024-08-04,Amber Jo RUTTER,GBR,W,Shooting,Skeet Women,ATH,/en/paris-2024/results/shooting/skeet-women/fnl-000100--,1977402
Bronze Medal,3,2024-08-04,Austen Jewell SMITH,USA,W,Shooting,Skeet Women,ATH,/en/paris-2024/results/shooting/skeet-women/fnl-000100--,1944397
Gold Medal,1,2024-08-04,Bobby FINKE,USA,M,Swimming,Men's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--,1935902
Silver Medal,2,2024-08-04,Gregorio PALTRINIERI,ITA,M,Swimming,Men's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--,1925630
Bronze Medal,3,2024-08-04,Daniel WIFFEN,IRL,M,Swimming,Men's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--,1539969
Gold Medal,1,2024-08-04,China,CHN,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,SWMM4X100MMDCHN01
Silver Medal,2,2024-08-04,United States,USA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,SWMM4X100MMDUSA01
Bronze Medal,3,2024-08-04,France,FRA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,SWMM4X100MMDFRA01
Gold Medal,1,2024-08-04,United States,USA,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,SWMW4X100MMDUSA01
Silver Medal,2,2024-08-04,Australia,AUS,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,SWMW4X100MMDAUS01
Bronze Medal,3,2024-08-04,China,CHN,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,SWMW4X100MMDCHN01
Gold Medal,1,2024-08-04,Sarah SJOESTROEM,SWE,W,Swimming,Women's 50m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--,1572557
Silver Medal,2,2024-08-04,Meg HARRIS,AUS,W,Swimming,Women's 50m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--,1946212
Bronze Medal,3,2024-08-04,ZHANG Yufei,CHN,W,Swimming,Women's 50m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--,1945125
Gold Medal,1,2024-08-04,FAN Zhendong,CHN,M,Table Tennis,Men's Singles,HATH,/en/paris-2024/results/table-tennis/men-s-singles/fnl-000100--,1902295
Silver Medal,2,2024-08-04,Truls MOREGARD,SWE,M,Table Tennis,Men's Singles,HATH,/en/paris-2024/results/table-tennis/men-s-singles/fnl-000100--,1563390
Bronze Medal,3,2024-08-04,Felix LEBRUN,FRA,M,Table Tennis,Men's Singles,HATH,/en/paris-2024/results/table-tennis/men-s-singles/fnl-000200--,1889177
Gold Medal,1,2024-08-04,Novak DJOKOVIC,SRB,M,Tennis,Men's Singles,HATH,/en/paris-2024/results/tennis/men-s-singles/fnl-000100--,1956398
Silver Medal,2,2024-08-04,Carlos ALCARAZ,ESP,M,Tennis,Men's Singles,HATH,/en/paris-2024/results/tennis/men-s-singles/fnl-000100--,1563682
Gold Medal,1,2024-08-04,ERRANI/PAOLINI,ITA,W,Tennis,Women's Doubles,HCOUP,/en/paris-2024/results/tennis/women-s-doubles/fnl-000100--,TENWDOUBLES-ITA01
Silver Medal,2,2024-08-04,ANDREEVA/SHNAIDER,AIN,W,Tennis,Women's Doubles,HCOUP,/en/paris-2024/results/tennis/women-s-doubles/fnl-000100--,TENWDOUBLES-AIN02
Bronze Medal,3,2024-08-04,BUCSA/SORRIBES TORMO,ESP,W,Tennis,Women's Doubles,HCOUP,/en/paris-2024/results/tennis/women-s-doubles/fnl-000200--,TENWDOUBLES-ESP01
Gold Medal,1,2024-08-05,Netherlands,NED,M,3x3 Basketball,Men,HTEAM,/en/paris-2024/results/3x3-basketball/men/fnl-000100--,BK3MTEAM3---NED01
Silver Medal,2,2024-08-05,France,FRA,M,3x3 Basketball,Men,HTEAM,/en/paris-2024/results/3x3-basketball/men/fnl-000100--,BK3MTEAM3---FRA01
Bronze Medal,3,2024-08-05,Lithuania,LTU,M,3x3 Basketball,Men,HTEAM,/en/paris-2024/results/3x3-basketball/men/fnl-000200--,BK3MTEAM3---LTU01
Gold Medal,1,2024-08-05,Germany,GER,W,3x3 Basketball,Women,HTEAM,/en/paris-2024/results/3x3-basketball/women/fnl-000100--,BK3WTEAM3---GER01
Silver Medal,2,2024-08-05,Spain,ESP,W,3x3 Basketball,Women,HTEAM,/en/paris-2024/results/3x3-basketball/women/fnl-000100--,BK3WTEAM3---ESP01
Bronze Medal,3,2024-08-05,United States,USA,W,3x3 Basketball,Women,HTEAM,/en/paris-2024/results/3x3-basketball/women/fnl-000200--,BK3WTEAM3---USA01
Gold Medal,1,2024-08-05,OKA Shinnosuke,JPN,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1919480
Silver Medal,2,2024-08-05,Angel BARAJAS,COL,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1935685
Bronze Medal,3,2024-08-05,ZHANG Boheng,CHN,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1918864
Bronze Medal,3,2024-08-05,TANG Chia-Hung,TPE,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1878037
Gold Medal,1,2024-08-05,ZOU Jingyuan,CHN,M,Artistic Gymnastics,Men's Parallel Bars,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--,1918865
Silver Medal,2,2024-08-05,Illia KOVTUN,UKR,M,Artistic Gymnastics,Men's Parallel Bars,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--,1897555
Bronze Medal,3,2024-08-05,OKA Shinnosuke,JPN,M,Artistic Gymnastics,Men's Parallel Bars,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--,1919480
Gold Medal,1,2024-08-05,Alice D'AMATO,ITA,W,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,1551061
Silver Medal,2,2024-08-05,ZHOU Yaqin,CHN,W,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,1918881
Bronze Medal,3,2024-08-05,Manila ESPOSITO,ITA,W,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,1560762
Gold Medal,1,2024-08-05,Rebeca ANDRADE,BRA,W,Artistic Gymnastics,Women's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--,1953634
Silver Medal,2,2024-08-05,Simone BILES,USA,W,Artistic Gymnastics,Women's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--,1959861
Bronze Medal,3,2024-08-05,Ana BARBOSU,ROU,W,Artistic Gymnastics,Women's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--,1550170
Gold Medal,1,2024-08-05,Armand DUPLANTIS,SWE,M,Athletics,Men's Pole Vault,ATH,/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--,1569203
Silver Medal,2,2024-08-05,Sam KENDRICKS,USA,M,Athletics,Men's Pole Vault,ATH,/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--,1960178
Bronze Medal,3,2024-08-05,Emmanouil KARALIS,GRE,M,Athletics,Men's Pole Vault,ATH,/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--,1961218
Gold Medal,1,2024-08-05,Beatrice CHEBET,KEN,W,Athletics,Women's 5000m,ATH,/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--,1910560
Silver Medal,2,2024-08-05,Faith KIPYEGON,KEN,W,Athletics,Women's 5000m,ATH,/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--,1910451
Bronze Medal,3,2024-08-05,Sifan HASSAN,NED,W,Athletics,Women's 5000m,ATH,/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--,1972105
Gold Medal,1,2024-08-05,Keely HODGKINSON,GBR,W,Athletics,Women's 800m,ATH,/en/paris-2024/results/athletics/women-s-800m/fnl-000100--,1924429
Silver Medal,2,2024-08-05,Tsige DUGUMA,ETH,W,Athletics,Women's 800m,ATH,/en/paris-2024/results/athletics/women-s-800m/fnl-000100--,1536498
Bronze Medal,3,2024-08-05,Mary MORAA,KEN,W,Athletics,Women's 800m,ATH,/en/paris-2024/results/athletics/women-s-800m/fnl-000100--,1928047
Gold Medal,1,2024-08-05,Valarie ALLMAN,USA,W,Athletics,Women's Discus Throw,ATH,/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--,1960721
Silver Medal,2,2024-08-05,FENG Bin,CHN,W,Athletics,Women's Discus Throw,ATH,/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--,1919067
Bronze Medal,3,2024-08-05,Sandra ELKASEVIC,CRO,W,Athletics,Women's Discus Throw,ATH,/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--,1922205
Gold Medal,1,2024-08-05,Viktor AXELSEN,DEN,M,Badminton,Men's Singles,HATH,/en/paris-2024/results/badminton/men-s-singles/fnl-000100--,1888993
Silver Medal,2,2024-08-05,Kunlavut VITIDSARN,THA,M,Badminton,Men's Singles,HATH,/en/paris-2024/results/badminton/men-s-singles/fnl-000100--,1926294
Bronze Medal,3,2024-08-05,Zii Jia LEE,MAS,M,Badminton,Men's Singles,HATH,/en/paris-2024/results/badminton/men-s-singles/fnl-000200--,1566617
Gold Medal,1,2024-08-05,AN Se Young,KOR,W,Badminton,Women's Singles,HATH,/en/paris-2024/results/badminton/women-s-singles/fnl-000100--,1891498
Silver Medal,2,2024-08-05,HE Bing Jiao,CHN,W,Badminton,Women's Singles,HATH,/en/paris-2024/results/badminton/women-s-singles/fnl-000100--,1913436
Gold Medal,1,2024-08-05,Finn BUTCHER,NZL,M,Canoe Slalom,Men's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------,1945386
Silver Medal,2,2024-08-05,Joseph CLARKE,GBR,M,Canoe Slalom,Men's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------,1896032
Bronze Medal,3,2024-08-05,Noah HEGGE,GER,M,Canoe Slalom,Men's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------,1913780
Gold Medal,1,2024-08-05,Noemie FOX,AUS,W,Canoe Slalom,Women's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------,1940209
Silver Medal,2,2024-08-05,Angele HUG,FRA,W,Canoe Slalom,Women's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------,1880483
Bronze Medal,3,2024-08-05,Kimberley WOODS,GBR,W,Canoe Slalom,Women's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------,1896045
Gold Medal,1,2024-08-05,Great Britain,GBR,W,Cycling Track,Women's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------,CTRWSPRTEAM3GBR01
Silver Medal,2,2024-08-05,New Zealand,NZL,W,Cycling Track,Women's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------,CTRWSPRTEAM3NZL01
Bronze Medal,3,2024-08-05,Germany,GER,W,Cycling Track,Women's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------,CTRWSPRTEAM3GER01
Gold Medal,1,2024-08-05,LI Yuehong,CHN,M,Shooting,25m Rapid Fire Pistol Men,ATH,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--,1913913
Silver Medal,2,2024-08-05,CHO Yeongjae,KOR,M,Shooting,25m Rapid Fire Pistol Men,ATH,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--,1893852
Bronze Medal,3,2024-08-05,WANG Xinjie,CHN,M,Shooting,25m Rapid Fire Pistol Men,ATH,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--,1913919
Gold Medal,1,2024-08-05,Italy 1,ITA,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--,SHOXSKMT----ITA01
Silver Medal,2,2024-08-05,United States 1,USA,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--,SHOXSKMT----USA01
Bronze Medal,3,2024-08-05,China,CHN,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000200--,SHOXSKMT----CHN01
Gold Medal,1,2024-08-05,Kauli VAAST,FRA,M,Surfing,Men,HATH,/en/paris-2024/results/surfing/men/fnl---------,1567361
Silver Medal,2,2024-08-05,Jack ROBINSON,AUS,M,Surfing,Men,HATH,/en/paris-2024/results/surfing/men/fnl---------,1946129
Bronze Medal,3,2024-08-05,Gabriel MEDINA,BRA,M,Surfing,Men,HATH,/en/paris-2024/results/surfing/men/fnl---------,1955778
Gold Medal,1,2024-08-05,Caroline MARKS,USA,W,Surfing,Women,HATH,/en/paris-2024/results/surfing/women/fnl---------,1943206
Silver Medal,2,2024-08-05,Tatiana WESTON-WEBB,BRA,W,Surfing,Women,HATH,/en/paris-2024/results/surfing/women/fnl---------,1955783
Bronze Medal,3,2024-08-05,Johanne DEFAY,FRA,W,Surfing,Women,HATH,/en/paris-2024/results/surfing/women/fnl---------,1567359
Gold Medal,1,2024-08-05,Germany,GER,X,Triathlon,Mixed Relay,TEAM,/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--,TRIXTEAM4---GER01
Silver Medal,2,2024-08-05,United States,USA,X,Triathlon,Mixed Relay,TEAM,/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--,TRIXTEAM4---USA01
Bronze Medal,3,2024-08-05,Great Britain,GBR,X,Triathlon,Mixed Relay,TEAM,/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--,TRIXTEAM4---GBR01
Gold Medal,1,2024-08-06,Cole HOCKER,USA,M,Athletics,Men's 1500m,ATH,/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--,1960933
Silver Medal,2,2024-08-06,Josh KERR,GBR,M,Athletics,Men's 1500m,ATH,/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--,1924440
Bronze Medal,3,2024-08-06,Yared NUGUSE,USA,M,Athletics,Men's 1500m,ATH,/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--,1965327
Gold Medal,1,2024-08-06,Miltiadis TENTOGLOU,GRE,M,Athletics,Men's Long Jump,ATH,/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--,1961246
Silver Medal,2,2024-08-06,Wayne PINNOCK,JAM,M,Athletics,Men's Long Jump,ATH,/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--,1938899
Bronze Medal,3,2024-08-06,Mattia FURLANI,ITA,M,Athletics,Men's Long Jump,ATH,/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--,1552378
Gold Medal,1,2024-08-06,Gabrielle THOMAS,USA,W,Athletics,Women's 200m,ATH,/en/paris-2024/results/athletics/women-s-200m/fnl-000100--,1965868
Silver Medal,2,2024-08-06,Julien ALFRED,LCA,W,Athletics,Women's 200m,ATH,/en/paris-2024/results/athletics/women-s-200m/fnl-000100--,1537325
Bronze Medal,3,2024-08-06,Brittany BROWN,USA,W,Athletics,Women's 200m,ATH,/en/paris-2024/results/athletics/women-s-200m/fnl-000100--,1960588
Gold Medal,1,2024-08-06,Winfred YAVI,BRN,W,Athletics,Women's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--,1926102
Silver Medal,2,2024-08-06,Peruth CHEMUTAI,UGA,W,Athletics,Women's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--,1971686
Bronze Medal,3,2024-08-06,Faith CHEROTICH,KEN,W,Athletics,Women's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--,1910453
Gold Medal,1,2024-08-06,Camryn ROGERS,CAN,W,Athletics,Women's Hammer Throw,ATH,/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--,1974290
Silver Medal,2,2024-08-06,Annette Nneka ECHIKUNWOKE,USA,W,Athletics,Women's Hammer Throw,ATH,/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--,1960899
Bronze Medal,3,2024-08-06,ZHAO Jie,CHN,W,Athletics,Women's Hammer Throw,ATH,/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--,1919077
Bronze Medal,3,2024-08-06,Omari JONES,USA,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/sfnl000100--,1955645
Bronze Medal,3,2024-08-06,Lewis RICHARDSON,GBR,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/sfnl000200--,1912009
Bronze Medal,3,2024-08-06,Nazym KYZAIBAY,KAZ,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/sfnl000100--,1931331
Bronze Medal,3,2024-08-06,Aira VILLEGAS,PHI,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/sfnl000200--,1979870
Gold Medal,1,2024-08-06,Kellie HARRINGTON,IRL,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--,1555098
Silver Medal,2,2024-08-06,YANG Wenlu,CHN,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--,1926828
Bronze Medal,3,2024-08-06,Janjaem SUWANNAPHENG,THA,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/sfnl000100--,1898283
Bronze Medal,3,2024-08-06,CHEN Nien Chin,TPE,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/sfnl000200--,1887975
Gold Medal,1,2024-08-06,Netherlands,NED,M,Cycling Track,Men's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------,CTRMSPRTEAM3NED01
Silver Medal,2,2024-08-06,Great Britain,GBR,M,Cycling Track,Men's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------,CTRMSPRTEAM3GBR01
Bronze Medal,3,2024-08-06,Australia,AUS,M,Cycling Track,Men's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------,CTRMSPRTEAM3AUS01
Gold Medal,1,2024-08-06,QUAN Hongchan,CHN,W,Diving,Women's 10m Platform,ATH,/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--,1901545
Silver Medal,2,2024-08-06,CHEN Yuxi,CHN,W,Diving,Women's 10m Platform,ATH,/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--,1901544
Bronze Medal,3,2024-08-06,KIM Mi Rae,PRK,W,Diving,Women's 10m Platform,ATH,/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--,1980115
Gold Medal,1,2024-08-06,Christian KUKUK,GER,O,Equestrian,Jumping Individual,ATH,/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--,1914912
Silver Medal,2,2024-08-06,Steve GUERDAT,SUI,O,Equestrian,Jumping Individual,ATH,/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--,1976553
Bronze Medal,3,2024-08-06,Maikel van der VLEUTEN,NED,O,Equestrian,Jumping Individual,ATH,/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--,1976879
Gold Medal,1,2024-08-06,Arisa TREW,AUS,W,Skateboarding,Women's Park,ATH,/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--,1946064
